GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ife.entertainment,segeleven.ife.entertainment,App,82,0,0,0,26,0,7,0,7,0
ife.entertainment,segeleven.ife.entertainment,Launcher,6,0,0,0,3,0,2,0,2,0
ife.entertainment,segeleven.ife.entertainment.infrastructure,BrandingService,0,137,0,8,0,52,0,18,0,12
ife.entertainment,segeleven.ife.entertainment.infrastructure,LocalizationService,0,62,0,2,0,20,0,10,0,9
ife.entertainment,segeleven.ife.entertainment.uifourconnectcontroller,FourConnectGameController,340,0,34,0,99,0,31,0,13,0
ife.entertainment,segeleven.ife.entertainment.uifourconnectcontroller,FourConnectModeMenuController,33,0,0,0,12,0,5,0,5,0
ife.entertainment,segeleven.ife.entertainment.uifourconnectcontroller,FourConnectHelpController,17,0,2,0,7,0,3,0,2,0
ife.entertainment,segeleven.ife.entertainment.uifourconnectcontroller,FourConnectWinningMoveController,143,0,12,0,31,0,12,0,6,0
ife.entertainment,segeleven.ife.entertainment.uifourconnectcontroller,FourConnectEndScreenController,95,0,6,0,25,0,9,0,6,0
ife.entertainment,segeleven.ife.entertainment.gamecore,GameState,0,39,0,0,0,7,0,1,0,1
ife.entertainment,segeleven.ife.entertainment.uicontroller,SettingsController,95,0,4,0,20,0,7,0,5,0
ife.entertainment,segeleven.ife.entertainment.uicontroller,MainHelpController,6,0,0,0,3,0,2,0,2,0
ife.entertainment,segeleven.ife.entertainment.uicontroller,MainMenuController,17,0,0,0,10,0,5,0,5,0
ife.entertainment,segeleven.ife.entertainment.fourconnect,FourConnectGame,60,326,10,18,13,66,10,21,0,15
ife.entertainment,segeleven.ife.entertainment.fourconnect,FourConnectGameBoard,0,191,0,18,0,34,0,19,0,10
ife.entertainment,segeleven.ife.entertainment.fourconnect,GameMode,15,0,0,0,3,0,1,0,1,0
ife.entertainment,segeleven.ife.entertainment.fourconnect,FourConnectBotStrategy.EasyBotStrategy,0,51,1,3,0,7,1,3,0,2
ife.entertainment,segeleven.ife.entertainment.fourconnect,FourConnectRules,0,517,6,42,0,57,6,23,0,5
ife.entertainment,segeleven.ife.entertainment.fourconnect,FourConnectBotStrategy.HardBotStrategy,210,93,18,10,39,18,12,10,3,5
ife.entertainment,segeleven.ife.entertainment.fourconnect,FourConnectBotStrategy,2,407,0,37,1,57,1,25,1,3
ife.entertainment,segeleven.ife.entertainment.fourconnect,Position,0,62,1,9,0,13,1,9,0,5
ife.entertainment,segeleven.ife.entertainment.fourconnect,FourConnectPlayer,0,21,0,0,0,8,0,4,0,4
ife.entertainment,segeleven.ife.entertainment.fourconnect,Player,0,27,0,0,0,5,0,1,0,1
